Title	Author	Price	Nook	Audio	Hardcover	Subject	Publisher	Published date	Pages	Number of reviews	Rating
Devil at My Heels: A Heroic Olympian's Astonishing Story of Survival as a Japanese POW in World War II	Louis Zamperini	9.38	TRUE	TRUE	FALSE	"[u'United States History - 20th Century - General & Miscellaneous', u'Japanese History', u'Ships & Shipbuilding', u'War Narratives', u'Historical Biography', u'Military Biography', u'Historical Biography - United States', u'General & Miscellaneous Military History', u'United States Armed Forces', u'World War II', u'Aviation', u'Aviation - Military']"	HarperCollins Publishers	11/1/11	336	41	4
The Brainy Bunch: The Harding Family's Method to College Ready by Age Twelve	Kip Harding	13.91	TRUE	TRUE	FALSE	"[u'Family & School', u'Religious Inspiration', u'Educational Settings', u'Family Memoirs - Biography', u'Christian Life']"	Gallery Books	5/6/14	240	3	3.5
Some Luck	Jane Smiley	18.81	TRUE	TRUE	TRUE	"[u'American Fiction', u'World Literature', u'Fiction Subjects']"	Knopf Doubleday Publishing Group	10/7/14	416	3	3.5
"Foxfire 6: Shoemaking, Gourd Banjos, and Songbows, One Hundred Toys and Games, Wooden Locks, a Water Powered Sawmill, and Other Affairs of Just Plain Living"	"Foxfire Fund, Inc."	12.73	FALSE	FALSE	FALSE	"[u'General & Miscellaneous Crafts & Hobbies', u'Americans - Regional Biography', u'United States Studies']"	Knopf Doubleday Publishing Group	8/28/80	512	4	5
Outlander (Outlander Series #1)	Diana Gabaldon	9.99	TRUE	TRUE	TRUE	[u'Romance']	Random House Publishing Group	6/28/92	896	4138	4.5
Son of the Morning Star: Custer and the Little Bighorn	Evan S. Connell	13.33	TRUE	TRUE	TRUE	"[u'Native North American History', u'United States History - Western, Plains & Rocky Mountain Region', u'United States History - 19th Century - General & Miscellaneous', u'United States History - Midwestern Region', u'United States History - Frontier & Indian Wars', u'U.S. Armed Forces - Biography', u'United States History - 19th Century - Westward Migration & Development', u'Military Biography', u'United States Armed Forces']"	"Farrar, Straus and Giroux"	10/28/97	448	16	4
The Longest Ride	Nicholas Sparks	6.8	TRUE	TRUE	TRUE	[u'Fiction Subjects']	Grand Central Publishing	9/30/14	496	604	4.5
The Diary of a Young Girl	Anne Frank	5.99	TRUE	TRUE	FALSE	"[u'General & Miscellaneous European History', u'Ethnic & Race Relations', u""Women's Biography"", u'Historical Biography', u'Children - History', u'Peoples & Cultures - Biography', u'Children - Biography', u""Women's Biography"", u'Jewish - Biography', u'Jewish History', u'World War II']"	Random House Publishing Group	6/28/93	304	1068	4.5
Kitchen Confidential: Adventures in the Culinary Underbelly	Anthony Bourdain	11.51	TRUE	TRUE	TRUE	"[u'General & Miscellaneous Biography', u'U.S. Cooking', u'General & Miscellaneous Cooking', u'TV Cooks & Celebrity Chefs']"	HarperCollins Publishers	1/9/07	352	631	4
Sons of Wichita: How the Koch Brothers Became America's Most Powerful and Private Dynasty	Daniel Schulman	20.7	TRUE	TRUE	FALSE	"[u'Business History', u'U.S. - Political Biography', u'Business Biography']"	Grand Central Publishing	5/20/14	432	10	4.5
